"Country Name","Country Code","Control of Corruption: Estimate","Current health expenditure per capita, PPP (current international $)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","GDP per capita, PPP (constant 2021 international $)","Life expectancy at birth, total (years)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
"Mauritania","MRT",-0.822652637958527,189.439243580344,2.92197418212891,6258.71091329181,64.691,72.1994109024446
"Mauritius","MUS",0.453197360038757,1451.93310374596,9.4877872467041,26590.4238819278,73.5146341463415,9.27666690706869
"Mexico","MEX",-1.02057874202728,1101.81204678275,16.0200004577637,21874.0161543764,74.832,14.7051077997851
"Micronesia, Fed. Sts.","FSM",0.783704280853271,366.358446734171,NA,3886.69657098366,70.925,12.3358791142647
"Middle East & North Africa","MEA",NA,986.66316947475,NA,18657.1100997746,73.0940459752852,41.9225486841472
"Middle East & North Africa (IDA & IBRD countries)","TMN",NA,669.835615547114,NA,12921.1206368757,72.1958188105999,40.8921027318699
"Middle East & North Africa (excluding high income)","MNA",NA,669.835615547114,NA,12829.9258547489,72.2103836349625,40.7645717457672
"Middle income","MIC",NA,574.342737170989,NA,14217.9792356189,71.2481866258607,39.6278625687936
"Moldova","MDA",-0.28033846616745,859,20.9641456604004,15855.2737421842,68.621,15.7728170076841
"Monaco","MCO",1.25135612487793,8193.69460267326,NA,NA,NA,9.65907893202952
"Mongolia","MNG",-0.492604404687881,583.619273685997,31.7103157043457,16222.8638898529,72.667,31.0839271991388
"Montenegro","MNE",-0.0793098732829094,1956,61.090518951416,27342.823774098,76.1878048780488,18.3231957596321
"Morocco","MAR",-0.536348581314087,433.891513378091,NA,8868.7119140625,74.973,20.9299059936918
"Mozambique","MOZ",-0.828437745571136,106.520863190697,3.0377299785614,1511.63653474992,59.625,19.5945644695986
"Myanmar","MMR",-1.21649932861328,237,9.35000038146973,5364.13797034407,67.256,32.1642279603857
"Namibia","NAM",0.110072031617165,879.456273725399,NA,10105.5147732431,58.059,19.3878496864904
"Nauru","NRU",0.58861643075943,1523.66710553118,NA,12462.8412884717,64.014,6.02606444596139
"Nepal","NPL",-0.50792795419693,182,5.81882381439209,4859.80010436735,70.484,57.2750179345088
"Netherlands","NLD",1.86710047721863,6127,36.6276969909668,70610.1704537706,81.7146341463415,11.3641419467189
"New Caledonia","NCL",NA,NA,19.5735034942627,NA,80.9820731707317,NA
"New Zealand","NZL",2.08409547805786,4377.54456741863,31.6728115081787,48580.1962741612,82.7609756097561,7.42296671535298
"Nicaragua","NIC",-1.38844013214111,477.72614778961,NA,7486.94276222499,74.615,14.9843484599445
"Niger","NER",-0.563843965530396,71.8971869192471,1.14498543739319,1703.39693250647,62.08,72.4703210969872
"Nigeria","NGA",-1.04097437858582,157.949735583775,3.47727274894714,5593.05661448231,53.633,51.7218388551219
"North America","NAC",NA,11842.9198914656,NA,72668.9547907465,77.8387652653349,7.07846677471604
"North Macedonia","MKD",-0.34861546754837,1250,21.0402164459229,23323.9034075339,74.4248780487805,25.8786881284068
"Northern Mariana Islands","MNP",NA,NA,NA,NA,NA,9.84143557608585
"Norway","NOR",2.11352157592773,7325,31.1733207702637,90160.1575016309,82.5609756097561,6.38122446338577
"OECD members","OED",NA,5471.03122801418,NA,52742.297429667,79.6281298121431,12.3044204275696
"Oman","OMN",0.215157955884933,1341.43770329579,19.1100006103516,38311.4183413339,73.935,44.8977643665473
"Other small states","OSS",NA,1553.44352061618,NA,28064.1467613459,72.8992435957495,22.2960153982683
"Pacific island small states","PSS",NA,366.824355259491,NA,7209.94867463008,69.7559713939711,13.2360653228674
"Pakistan","PAK",-0.999357461929321,153.052331998818,4.15000009536743,5439.18762006677,66.431,52.8571976958305
"Palau","PLW",0.58861643075943,2477.65914198973,NA,15796.5402743459,NA,7.7458949684632
"Panama","PAN",-0.62809419631958,2783.81493323903,16.1276836395264,35863.880148831,76.826,11.8842931085395
"Papua New Guinea","PNG",-0.657154023647308,95.6743316391551,3.13966274261475,4174.44164016586,65.958,16.8882962616477
"Paraguay","PRY",-1.05772292613983,1015.69879888063,13.9899997711182,15783.1150120746,70.475,10.1222564891858
"Peru","PER",-0.721040904521942,699.449536092365,NA,15294.2567811201,73.385,29.1117854585642
"Philippines","PHL",-0.537639975547791,516,18.075719833374,9901.05652395692,72.187,21.5254371973976
"Poland","POL",0.565399944782257,2925,28.645357131958,43585.1194236272,77.3048780487805,18.7701954101512
"Portugal","PRT",0.696312069892883,4464,23.9583301544189,41498.3669564203,81.5804878048781,7.98256121876526
"Post-demographic dividend","PST",NA,6393.21475158212,NA,58361.6934182348,80.1357442642629,10.9844919844194
"Pre-demographic dividend","PRE",NA,149.947867289473,NA,4040.60707088337,60.470334428071,38.9439660966704
"Puerto Rico","PRI",0.0196014605462551,NA,7.59000015258789,42994.7856404917,79.72,6.66040483872952
"Qatar","QAT",0.702209830284119,3041.41711735244,30.3899993896484,116159.142559471,81.559,81.0088337801126
"Romania","ROU",0.0404953435063362,1885,15.2834615707397,40267.3065891116,75.3048780487805,15.0073403663299
"Russian Federation","RUS",-1.10467827320099,1705,NA,39753.45703125,72.5456097560976,11.6778230257169
"Rwanda","RWA",0.671653091907501,144.887395828665,5.14924049377441,3060.02893126731,67.129,30.0071642427631
"Samoa","WSM",0.727086067199707,372.938997828622,16.4844264984131,6304.34613688419,72.598,12.8726726678327
"San Marino","SMR",1.25135612487793,5102.46137117047,18.3899993896484,70887.573899815,NA,10.4938237574833
"Sao Tome and Principe","STP",0.360224694013596,219.669647098608,4.8479700088501,5541.3016760535,68.794,21.6556728259824
"Saudi Arabia","SAU",0.536042988300323,2673.01905535307,30.8887481689453,55055.3996823571,77.905,58.6225928552836
"Senegal","SEN",0.0578322261571884,160.756573225969,4.90400886535645,4317.2263915953,67.913,60.3429016299635
"Serbia","SRB",-0.447204262018204,1677.05964427825,18.6692008972168,25718.4299758377,75.4821951219512,22.6362588980641
"Seychelles","SYC",1.62884771823883,1365.58772408747,NA,29468.9512755913,73.8487804878049,9.43411735985982
"Sierra Leone","SLE",-0.574557840824127,157.54260955283,1.95823001861572,3034.21894320278,60.411,38.5920982937814
"Singapore","SGP",2.04018402099609,4397.05086519512,36.189998626709,127543.55475211,82.8951219512195,17.0759063187283
"Sint Maarten (Dutch part)","SXM",NA,NA,NA,44894.6934642898,74.409,NA
"Slovak Republic","SVK",0.292565286159515,2316,25.8375110626221,39171.7826208886,77.0658536585366,15.8371166474072
"Slovenia","SVN",0.776647090911865,4388,26.0893592834473,47825.2300822798,81.2829268292683,13.9082165762349
"Small states","SST",NA,1321.93636654904,NA,25375.5843646434,72.1830686819043,21.4775081051994
"Solomon Islands","SLB",-0.134710744023323,117.930261204187,NA,2534.02756338361,70.742,14.3002352896823
"Somalia","SOM",-1.73283362388611,NA,4.26999998092651,1402.46992062464,56.107,22.8360439242082
"South Africa","ZAF",-0.284670442342758,1190.19975327386,12.2000169754028,13690.3894584515,61.48,23.1897720637682
"South Asia","SAS",NA,197.718406488757,NA,8439.40464866185,68.1474413137902,57.6247841302567
"South Asia (IDA & IBRD)","TSA",NA,197.718406488757,NA,8439.40464866185,68.1474413137902,57.6247841302567
"South Sudan","SSD",-1.96955537796021,51.3808484028734,NA,NA,55.567,33.3599794728451
"Spain","ESP",0.629368722438812,3959.18583587932,24.706615447998,47298.4121876661,83.0829268292683,9.35354339662499
"Sri Lanka","LKA",-0.383976995944977,558,0.911603033542633,13029.523937847,76.61,19.779803654502
"St. Kitts and Nevis","KNA",0.413433611392975,1686.29680244748,NA,30409.4041094129,72.027,7.87159855837596
"St. Lucia","LCA",0.54412841796875,675.223826954528,NA,23403.4617661837,71.294,23.070500576614
"St. Martin (French part)","MAF",NA,NA,NA,NA,80.55,NA
"St. Vincent and the Grenadines","VCT",0.737308144569397,629.741103330466,NA,18335.2120818044,68.972,23.4062454360865
"Sub-Saharan Africa","SSF",NA,187.982036421568,NA,4309.35145937495,60.7441305312973,36.2221384584107
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",NA,187.982036421568,NA,4309.35145937495,60.7441305312973,36.2221384584107
"Sub-Saharan Africa (excluding high income)","SSA",NA,187.879681468202,NA,4306.96343951702,60.7428523816943,36.2244340511557
"Sudan","SDN",-1.50206708908081,204.419975932321,9.34699058532715,2469.19458007813,65.578,51.9356218340372
"Suriname","SUR",-0.404351592063904,1660.11781556072,4.9513897895813,19043.7052869285,70.289,29.9904120028237
"Sweden","SWE",2.0282461643219,7017,33.6940689086914,62665.2172577283,83.109756097561,6.06869269595507
"Switzerland","CHE",2.02199912071228,8068.70041611335,41.2647743225098,81683.8662644452,83.4536585365854,9.45001875443382
"Syrian Arab Republic","SYR",-1.7502247095108,NA,NA,4454.85373271464,72.3,26.4725611273339
"Tajikistan","TJK",-1.37873339653015,259,12.0100002288818,4472.3241378777,71.288,40.2890496610835
"Tanzania","TZA",-0.319897323846817,101.025557922978,2.31976008415222,3620.79345703125,66.782,20.7785687915826
"Thailand","THA",-0.489050775766373,711.13656921288,17.3500003814697,21142.6643331162,79.68,30.382756547172
"Timor-Leste","TLS",-0.22670416533947,194.899655313487,1.26540040969849,4328.50782017194,69.056,17.627881197133
"Togo","TGO",-0.619174957275391,124.162837911897,5.88405132293701,2767.51655834427,61.588,47.6290664711767
"Tonga","TON",-0.308315753936768,314.033624489501,9.49322986602783,6901.73855566074,71.27,12.7574461149445
"Trinidad and Tobago","TTO",-0.374148547649384,1801.73214077458,10.1399097442627,31705.8333833611,74.708,25.0102271567294
"Tunisia","TUN",-0.341899782419205,698.215225732241,12.8028297424316,12552.9866903456,74.263,23.7714034054098
"Turkiye","TUR",-0.50248908996582,1210,20.9415740966797,34251.5790048407,78.475,23.6946115800374
"Turkmenistan","TKM",-1.42362427711487,937.086853785171,13.8386697769165,17866.4041809169,69.41,20.2530348899106
"Turks and Caicos Islands","TCA",NA,NA,11.7487096786499,22305.6592653747,74.925,NA
"Tuvalu","TUV",0.646379947662354,1125.10912213675,6.05095529556274,5812.39328977512,64.854,6.00962588602958
"Uganda","UGA",-1.04257476329803,94.3429860096301,4.25233602523804,2791.05576885861,63.638,31.4850134786862
"Ukraine","UKR",-0.686146318912506,900,NA,15885.2255859375,68.5879268292683,15.5795007311465
"United Arab Emirates","ARE",1.07366383075714,3281.38232559293,51.0699996948242,68577.5405661277,79.196,41.955626323257
"United Kingdom","GBR",1.48091387748718,6265.54315002907,37.1295585632324,52588.9794302902,82.0585365853659,9.94569869317993
"United States","USA",1.12343263626099,12473.7910779276,38.5680274963379,74577.5065396723,77.4341463414634,7.17602147949022
"Upper middle income","UMC",NA,930.470992342409,NA,20588.0039552899,75.6652990948112,29.0935841579217
"Uruguay","URY",1.57394731044769,2276.02756131912,22.0100002288818,31019.3113912098,78,10.298591147894
"Uzbekistan","UZB",-0.807529330253601,424,16.8500003814697,10007.6855026198,71.674,34.1331992575325
"Vanuatu","VUT",-0.0148651544004679,106.062672909175,3.50382971763611,3118.39603259733,70.492,14.3364980888287
"Venezuela, RB","VEN",-1.69000518321991,78.9285626083828,22.2573757171631,NA,71.105,14.8507131552081
"Viet Nam","VNM",-0.415814280509949,531.464312653653,11.2206144332886,13491.879417397,74.58,20.8317868906878
"Virgin Islands (U.S.)","VIR",-0.018456656485796,NA,NA,46479.2996685326,80.319512195122,7.9242336096145
"West Bank and Gaza","PSE",-0.676133513450623,NA,22.75,5313.09790291178,73.444,29.6822493738623
"World","WLD",NA,1438.95064456885,NA,20604.1219496268,71.9487167371408,34.4974705338068
"Yemen, Rep.","YEM",-1.64893329143524,NA,NA,NA,63.72,41.6407934340959
"Zambia","ZMB",-0.477706879377365,237.358528564375,2.71212387084961,3673.4841969922,61.803,23.2037475947695
"Zimbabwe","ZWE",-1.26121604442596,72.0159647364546,0.91387802362442,3442.25132658294,59.391,18.5286074615735
